Substrate	Name_in_Model	Substrate_type	Growth_Biolog	Growth_Model
Glycogen	glycogen	C	NG	NG
M-Inositol	myo-inositol	C	NG	NG
Sucrose	sucrose	C	G	G
D-Saccharic Acid	D-Glucarate	C	NG	NG
Pectin	pectin	C	NG	NG
D-Glucose-1-Phosphate	D-glucose 1-phosphate	C	NG	G
Hydroxy-L Proline		C	NG	NG
D-Ribono-1,4-Lactone		C	NG	NG
L-Pyroglutamic Acid	5-oxo-L-proline	C	NG	NG
Lactulose		C	NG	NG
D-Raffinose	raffinose	C	NG	G
Maltose	maltose	C	G	G
L-Rhamnose		C	NG	NG
D-Galactose	D-galactose	C	G	G
α-D-Lactose		C	NG	NG
N-Acetyl-D-Galactosamine		C	NG	NG
2,3-Butanediol		C	NG	NG
1,2-Propanediol		C	NG	NG
Amygdalin		C	NG	NG
Malonic Acid		C	NG	NG
D-Melibiose	melibiose	C	NG	NG
D-Gluconic Acid	D-gluconate	C	NG	NG
D.L-Octopamine		C	NG	NG
D-Aspartate		C	NG	NG
Gelatin		C	NG	NG
L-Aspartic Acid	L-aspartate	C	NG	G
L-Ornithine		C	NG	NG
Salicin		C	NG	NG
L-Arabinose	L-arabinose	C	G	G
L-Histidine	L-histidine	C	NG	NG
D-Glucuronic Acid		C	NG	NG
L-Glucose		C	NG	NG
N-AcetylNeuraminic Acid		C	NG	NG
β-Methyl-D-Galactoside		C	NG	NG
Stachyose		C	NG	NG
Maltitol		C	NG	NG
Acetamide		C	NG	NG
I-Erythritol		C	NG	NG
Lactitol		C	NG	NG
N-Acetyl-D-Glucosaminitol		C	NG	NG
α-Methyl-D-Glucoside	methyl alpha-D-glucopyranoside	C	G	G
D,L-Carnitine		C	NG	NG
D,L-α-Glycerol-Phosphate	glycerol 3-phosphate	C	NG	NG
Sedoheptulosan		C	NG	NG
β-Methyl-D-Xyloside		C	NG	NG
β-Cyclodextrin		C	NG	NG
L-Arginine	L-arginine	C	NG	G
α-Methyl-D-Mannoside		C	NG	NG
Gentiobiose		C	NG	NG
L-Fucose		C	NG	NG
L-T hreonine	L-threonine	C	NG	G
L-Phenylalanine	L-phenylalanine	C	NG	NG
Citric Acid	citrate	C	NG	G
α-Cyclodextrin		C	NG	NG
Citraconic Acid		C	NG	NG
L-Arabitol	L-arabinitol	C	NG	G
D-Trehalose	trehalose	C	NG	G
γ-Cyclodextrin		C	NG	NG
L-Methionine	L-methionine	C	NG	NG
Inulin		C	G	NG
D-Fucose		C	NG	NG
D-Galactonic Acid-γ-Lactone		C	NG	NG
L-Homoserine	L-homoserine	C	NG	G
Oxalic Acid	Oxalate	C	NG	NG
Arbutin		C	NG	NG
Laminarin		C	G	NG
Caproic Acid	hexanoate	C	NG	NG
Phenylethyl-amine		C	NG	NG
Xylitol	xylitol	C	NG	G
m-Hydroxy Phenyl Acetic Acid		C	NG	NG
Sec-Butylamine		C	NG	NG
D-Glucosamine	D-Glucosamine	C	G	G
Sebacic Acid		C	NG	NG
Mannan	mannan	C	NG	NG
Dihydroxy Acetone	glycerone	C	G	G
2-Deoxy Adenosine	2'-deoxyadenosine	C	NG	NG
Adenosine	adenosine	C	NG	G
D-Alanine		C	NG	NG
D-Serine	D-Serine	C	NG	NG
2,3-Butanone H12	diacetyl	C	NG	NG
D-Threonine		C	NG	NG
Itaconic Acid	itaconate	C	NG	NG
2-Deoxy-D-Ribose	2-deoxy-D-ribose	C	G	NG
4-Hydroxy Benzoic Acid	4-hydroxybenzoate	C	NG	NG
Capric Acid	decanoate	C	NG	G
Sorbic Acid		C	G	NG
2-Hydroxy Benzoic Acid		C	NG	NG
Glycine	L-glycine	C	NG	G
Uric Acid		N	NG	NG
Ala-Gln	Ala-Gln	N	G	G
Ala-Leu	Ala-Leu	N	G	G
Ala-Gly	Ala-Gly	N	G	G
Xanthine	9H-xanthine	N	NG	NG
D,L-Lactamide		N	NG	NG
Cytosine	cytosine	N	G	G
Gly-Gln	Gly-Gln	N	G	G
Guanine	guanine	N	NG	G
Ethylenediamine		N	NG	NG
Ala-His	Ala-His	N	G	G
Allantoin	allantoin	N	G	G
Parabanic Acid		N	G	NG
L-Alanine	L-alanine	N	G	G
Guanosine	guanosine	N	NG	G
L-Glutamine	L-glutamine	N	G	G
L-Leucine	L-leucine	N	G	G
Thymidine	thymidine	N	NG	NG
Gly-Asn	Gly-Asn	N	G	G
Ala-Glu	Ala-Glu	N	G	G
Thymine		N	NG	NG
Cytidine	cytidine	N	NG	G
Uracil	uracil	N	NG	NG
L-Asparagine	L-asparagine	N	G	G
Gly-Met	Gly-Met	N	G	G
Ala-Asp	Ala-Asp	N	G	G
γ-Amino-N-Butyric Acid	gamma-aminobutyrate	N	G	G
D-Alanine		N	NG	NG
L-Serine	L-serine	N	G	G
Urea	urea	N	G	G
Gly-Glu	Gly-Glu	N	G	G
Ala-Thr	Ala-Thr	N	G	G
δ-Amino-N-Valeric Acid	5-Aminopentanoate	N	G	NG
Putrescine	putrescine	N	NG	NG
Uridine	uridine	N	NG	NG
Met-Ala	Met-Ala	N	G	G
Glucuronamide		N	NG	NG
D-Serine	D-Serine	N	NG	NG
L-Lysine	L-lysine	N	NG	NG
L-Histidine	L-histidine	N	G	NG
D-Glutamic Acid		N	NG	NG
Agmatine		N	NG	NG
Ammonia	ammonium	N	G	G
Xanthosine	xanthosine	N	NG	NG
Glycine	L-glycine	N	G	G
L-Glutamic Acid	L-glutamate	N	G	G
Ethanolamine	ethanolamine	N	NG	NG
D-Lysine		N	NG	NG
L-Aspartic Acid	L-aspartate	N	G	G
Alloxan		N	NG	NG
N-Acetyl-D-Glucosamine	N-Acetyl-D-glucosamine	N	NG	NG
D-Aspartate		N	G	NG
L-Cysteine	L-cysteine	N	G	G
L-Proline	L-proline	N	G	G
L-Isoleucine	L-isoleucine	N	G	G
ε-Amino-N-Caproic Acid		N	NG	NG
L-Tryptophan	L-tryptophan	N	G	G
α-Amino-NValeric Acid		N	G	NG
D-Asparagine		N	NG	NG
L-Tyrosine	L-tyrosine	N	G	G
Histamine		N	NG	NG
D-Mannosamine		N	NG	NG
D-Galactosamine		N	NG	NG
L-Arginine	L-arginine	N	G	G
L-Pyroglutamic Acid	5-oxo-L-proline	N	NG	NG
L-Citrulline	L-citrulline	N	G	G
Inosine	inosine	N	NG	NG
Formamide		N	NG	NG
Ethylamine		N	NG	NG
Acetamide		N	NG	NG
L-Phenylalanine	L-phenylalanine	N	G	G
Biuret		N	NG	NG
N-Butylamine		N	NG	NG
N-Acetyl-D-Galactosamine		N	NG	NG
N-Acetyl-D ,L-Glutamic Acid	N-acetyl-L-glutamate	N	G	G
N-Acetyl-D-Mannosamine		N	NG	NG
L-Homoserine	L-homoserine	N	G	G
Adenine	adenine	N	NG	G
N-Amylamine		N	NG	NG
Tyramine		N	NG	NG
N-Phthaloyl-L-Glutamic Acid		N	NG	NG
Methylamine		N	NG	NG
L-Valine	L-valine	N	G	G
Nitrate	nitrate	N	NG	NG
L-Ornithine	ornithine	N	G	G
L-Threonine	L-threonine	N	G	G
β-Phenylethyl-amine		N	NG	NG
Nitrite	Nitrite	N	NG	NG
L-Methionine	L-methionine	N	G	G
D,L-α-Amino-Caprylic Acid		N	G	NG
D-Valine		N	NG	NG
D-Glucosamine	D-Glucosamine	N	NG	G
D,L-α-Amino-N-Butyric Acid	2-aminobutanoate	N	G	G
Adenosine	adenosine	N	NG	G
Hydroxylamine		N	NG	NG
Phosphoryl Choline	choline phosphate	P	G	G
D,L-α-Glycerol Phosphate	glycerol 1-phosphate	P	G	G
O-Phospho-D-Tyrosine		P	G	NG
D-2-Phospho-Glyceric Acid	2-phospho-D-glyceric acid	P	G	G
Guanosine-5’-monophosphate	GMP	P	G	G
O-Phospho-L-Serine	3-phospho-serine	P	G	G
O-Phospho-D-Serine	O-phosphonatooxy-D-serine(2-)	P	G	G
Phosphate	phosphate	P	G	G
Pyrophosphate	diphosphate	P	G	G
Thiophosphate		P	G	NG
Tripolyphosphate	triphosphate	P	G	G
Uridine-5’-monophosphate	UMP	P	G	G
Cytidine-5’-monophosphate	CMP	P	G	G
Phosphoenol Pyruvate	phosphoenolpyruvate	P	G	G
Trimetaphosphate		P	G	NG
Phospho-L-Arginine	N(omega)-phospho-L-arginine	P	G	G
Carbamyl Phosphate	carbamoyl phosphate	P	G	G
O-Phosphoryl-Ethanolamine	O-phosphoethanolamine	P	G	G
D-Glucosamine-6-Phosphate	alpha-D-glucosamine 6-phosphate	P	G	G
Phosphocreatine	N-phosphocreatine	P	G	NG
Dithiophosphate		P	G	NG
Thymidine-5’-monophosphate	thymidine 5'-monophosphate	P	G	G
Thymidine-3 ’-monophosphate	thymidine 3'-monophosphate	P	G	G
Cysteamine-S-Phosphate	cysteamine S-phosphate	P	G	G
2-Deoxy-D-Glucose 6-Phosphate	2-deoxy-D-glucose 6-phosphate	P	NG	NG
Guanosine-2’-monophosphate	guanosine 2'-monophosphate	P	G	G
D-Glucose-6-Phosphate	D-glucose 6-phosphate	P	G	G
β-Glycerol Phosphate	glycerol 2-phosphate(2-)	P	G	G
Guanosine-3’-monophosphate	3'-GMP	P	G	G
Phospho-Glycolic Acid	2-phosphoglycolate	P	G	G
6-Phospho-Gluconic Acid	6-phospho-D-gluconate	P	G	G
D-Mannose-6-Phosphate	D-mannose 6-phosphate	P	G	G
Cytidine-3’,5’-cyclic monophosphate	3',5'-cyclic CMP	P	NG	NG
Cytidine-2’-monophosphate	cytidine 2'-phosphate	P	G	G
Inositol Hexaphosphate	myo-inositol hexakisphosphate	P	G	NG
Guanosine-2’,3’-cyclic monophosphate	2',3'-cyclic GMP	P	G	G
O-Phospho-L-Tyrosine	O(4)-phospho-L-tyrosine	P	G	G
O-Phospho-L-Threonine	O-phospho-L-threonine	P	G	G
Cytidine-3’-monophosphate		P	NG	NG
D-3-Phospho-Glyceric Acid	3-phosphonato-D-glycerate(3-)	P	G	G
Triethyl Phosphate		P	NG	NG
Phosphono Acetic Acid		P	NG	NG
Uridine-2’-monophosphate	uridine 2'-phosphate	P	G	G
D-Glucose-1-Phosphate	D-glucose 1-phosphate	P	G	G
Uridine-3’-monophosphate	3'-UMP	P	G	G
Cytidine-2’ ,3’-cyclic monophosphate	2',3'-cyclic CMP	P	G	G
2-Aminoethyl Phosphonic Acid		P	NG	NG
Uridine-2’,3’-cyclic monophosphate	2',3'-cyclic UMP	P	G	G
Adenosine-2’-monophosphate	adenosine 2'-phosphate	P	G	G
Adenosine-3’-monophosphate	3'-AMP	P	G	G
Adenosine-2’,3’-cyclic monophosphate	2',3'-cyclic AMP	P	G	G
Hypophosphite		P	NG	NG
Guanosine-3’,5’-cyclic monophosphate	3',5'-cyclic GMP	P	NG	NG
Thymidine 3’,5’-cyclic monophosphate		P	NG	NG
D-Mannose-1-Phosphate	D-mannose 1-phosphate	P	G	G
Urid ine-3’,5’-cyclic monophosphate		P	NG	NG
Methylene Diphosphonic Acid		P	G	NG
Adenosine-3’,5’-cyclic monophosphate	3',5'-cyclic AMP	P	NG	NG
Adenosine-5’-monophosphate	AMP	P	G	G
Sulfate	sulphate	S	G	G
L-Cysteine	L-cysteine	S	NG	G
Tetrathionate		S	NG	NG
Thiosulfate	thiosulfate	S	G	NG
S-Methyl-L-Cysteine		S	G	NG
Hypotaurine		S	NG	NG
D-Methionine		S	NG	NG
L-Cysteinyl-Glycine	L-cysteinylglycine	S	NG	NG
L-Methionine	L-methionine	S	G	G
Glutathione	glutathione	S	G	G
N-Acetyl-D,L-Methionine	N(alpha)-acetyl-L-methionine	S	G	G
L-Methionine Sulfoxide	L-Methionine S-oxide	S	NG	G
Glycyl-L-Methionine	Gly-Met	S	G	G
Taurine	tetrathionate	S	G	NG
D-Cysteine		S	NG	NG
Dithiophosphate		S	G	NG
Cystathionine		S	NG	NG
Cysteamine		S	NG	NG
L-Cysteine Sulfinic Acid	3-sulfino-L-alanine	S	G	G
Thiophosphate		S	G	NG
Lanthionine		S	NG	NG
N-Acetyl-L-Cysteine	N-acetyl-L-cysteine	S	G	G
Thiourea		S	G	NG
1-Thio-β-D-Glucose		S	G	NG
Taurocholic Acid	taurocholic acid	S	NG	NG
Butane Sulfonic Acid		S	G	NG
D,L-Lipoamide	lipoamide	S	G	NG
L-Djenkolic Acid		S	NG	NG
Methane Sulfonic Acid		S	NG	NG
L-Cysteic Acid	L-cysteate	S	G	G
p-Amino Benzene Sulfonic Acid		S	NG	NG
D,L-Ethionine		S	NG	NG
2-Hydroxyethane Sulfonic Acid	2-hydroxyethane-1-sulfonate	S	G	G
Tetramethylene Sulfone		S	NG	NG
L-Methionine Sulfone	L-Methionine S-oxide	S	G	G
Ethanol	ethanol	C	G	G
D-Raffinose 	raffinose	C	G	G
D-Cellobise		C	G	NG
sodium acetate	acetate	C	G	G
