,#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE,lowglucoseflux,highglucoseflux
32,,r_0038,"3,4-dihydroxy-2-butanone-4-phosphate synthase",D-ribulose 5-phosphate[c] => 2-hydroxy-3-oxobutyl phosphate[c] + formate[c] + H+[c],4.1.99.12,YDR487C,,,,,kegg.reaction/R07281;metanetx.reaction/MNXR97178;pmid/12595523;sbo/SBO:0000176,sce00740  Riboflavin metabolism;sce01110  Biosynthesis of secondary metabolites,,,12595523,3.0,0.00035656954,0.00077170755
33,,r_0039,3-dehydroquinate dehydratase,3-dehydroquinate[c] => 3-dehydroshikimate[c] + H2O[c],1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4,YDR127W,,,,,kegg.reaction/R03084;metanetx.reaction/MNXR97449;sbo/SBO:0000176,"sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids",,,,2.0,0.055219856,0.11950987
34,,r_0040,3-dehydroquinate synthase,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] => 3-dehydroquinate[c] + phosphate[c],1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4,YDR127W,,,,,kegg.reaction/R03083;metanetx.reaction/MNXR97447;pmid/6355828;sbo/SBO:0000176,"sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids",,,6355828,3.0,0.055219856,0.11950987
35,,r_0041,3-dehydrosphinganine reductase,3-ketosphinganine[er] + 2 H+[er] + NADPH[er] => NADP(+)[er] + sphinganine[er],1.1.1.102,YBR265W,,,,,kegg.reaction/R02978;metanetx.reaction/MNXR94866;pmid/18296751;pmid/9804843;sbo/SBO:0000176,sce00600  Sphingolipid metabolism,,,18296751; 9804843,3.0,0.0,0.0
36,,r_0042,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c],2.5.1.54,YBR249C or YDR035W,,,,,kegg.reaction/R01826;metanetx.reaction/MNXR97218;pmid/2880280;sbo/SBO:0000176,"sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids",,,2880280,3.0,0.0,0.0
37,,r_0043,"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase","3-hexaprenyl-4-hydroxybenzoic acid[c] + 0.5 oxygen[c] => 3-hexaprenyl-4,5-dihydroxybenzoic acid[c]",,YPL252C or YDR376W,,,,,kegg.reaction/R06865;metanetx.reaction/MNXR110601;pmid/15792955;sbo/SBO:0000176,,,,15792955,3.0,0.0,0.0
38,,r_0044,3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase,3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid[m] + H+[m] => 2-hexaprenyl-6-methoxyphenol[m] + carbon dioxide[m],,YDR538W and YDR539W,,,,,kegg.reaction/R06866;metanetx.reaction/MNXR94901;pmid/15792955;sbo/SBO:0000176,,,,15792955,3.0,0.0,0.0
39,,r_0045,3-hydroxy-L-kynurenine hydrolase,3-hydroxy-L-kynurenine[c] + H2O[c] => 3-hydroxyanthranilate[c] + L-alanine[c],3.7.1.3,YLR231C,,,,,kegg.reaction/R02668;metanetx.reaction/MNXR100656;sbo/SBO:0000176,sce00380  Tryptophan metabolism,,,,2.0,0.0010821886,0.0023421325
40,,r_0057,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),(S)-3-hydroxytetradecanoyl-CoA[p] + NAD[p] => 3-oxotetradecanoyl-CoA[p] + H+[p] + NADH[p],1.1.1.n12; 4.2.1.119,YKR009C,,,,,kegg.reaction/R04739;metanetx.reaction/MNXR100547;sbo/SBO:0000176,,,,,2.0,0.0,0.0
41,,r_0058,"3-hydroxyanthranilate 3,4-dioxygenase",3-hydroxyanthranilate[c] + oxygen[c] => 2-amino-3-carboxymuconate-6-semialdehyde[c] + H+[c],1.13.11.6,YJR025C,,,,,metanetx.reaction/MNXR94889;pmid/9539135;sbo/SBO:0000176,sce00380  Tryptophan metabolism,,,9539135,3.0,0.0010821886,0.0023421325
42,,r_0059,3-isopropylmalate 3-methyltransferase,"(2R,3S)-3-isopropylmalate[c] + S-adenosyl-L-methionine[c] => 3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate[c] + S-adenosyl-L-homocysteine[c]",2.1.1.145,YER175C,,,,,pmid/15147181;sbo/SBO:0000176,,,,15147181,3.0,0.0,0.0
43,,r_0060,3-isopropylmalate dehydratase,"(2R,3S)-3-isopropylmalate[c] <=> 2-isopropylmaleic acid[c] + H2O[c]",4.2.1.33,YGL009C,,,,,kegg.reaction/R04001;metanetx.reaction/MNXR100827;pmid/3071717;sbo/SBO:0000176,"sce00290  Valine, leucine and isoleucine biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids",,,3071717,3.0,-0.06070017,-0.13137067
44,,r_0061,3-isopropylmalate dehydrogenase,"(2R,3S)-3-isopropylmalate[c] + NAD[c] => (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]",1.1.1.85,YCL018W,,,,,kegg.reaction/R04426;metanetx.reaction/MNXR100878;pmid/6297759;sbo/SBO:0000176,"sce00290  Valine, leucine and isoleucine biosynthesis;sce00660  C5-Branched dibasic acid metabolism;sce01110  Biosynthesis of secondary metabolites;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids",,,6297759,3.0,0.06070017,0.13137067
45,,r_0062,3-methyl-2-oxobutanoate decarboxylase,3-methyl-2-oxobutanoate[c] + H+[c] => carbon dioxide[c] + isobutyraldehyde[c],4.1.1.-; 4.1.1.1; 4.1.1.43; 4.1.1.74,YGR087C or YLR044C or YLR134W,,,,,metanetx.reaction/MNXR94922;pmid/12902239;sbo/SBO:0000176,Gluconeogenesis;sce00010  Glycolysis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics,,,12902239,3.0,0.0,0.0
46,,r_0063,3-methyl-2-oxobutanoate hydroxymethyltransferase,"3-methyl-2-oxobutanoate[m] + 5,10-methylenetetrahydrofolate[m] + H2O[m] => 2-dehydropantoate[m] + THF[m]",2.1.2.11,YBR176W,,,,,kegg.reaction/R01226;metanetx.reaction/MNXR101702;sbo/SBO:0000176,sce00770  Pantothenate and CoA biosynthesis;sce01110  Biosynthesis of secondary metabolites,,,,2.0,0.0,0.0
47,,r_0064,3-methyl-2-oxopentanoate decarboxylase,(S)-3-methyl-2-oxopentanoate[c] + H+[c] => 2-methylbutanal[c] + carbon dioxide[c],4.1.1.-; 4.1.1.1; 4.1.1.43; 4.1.1.74,YDL080C or YGR087C or YLR044C or YLR134W,,,,,kegg.reaction/R03894;metanetx.reaction/MNXR94925;pmid/12902239;sbo/SBO:0000176,Gluconeogenesis;sce00010  Glycolysis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics,,,12902239,3.0,0.0,0.0
48,,r_0065,3-phosphoshikimate 1-carboxyvinyltransferase,3-phosphoshikimic acid[c] + phosphoenolpyruvate[c] => 5-O-(1-carboxyvinyl)-3-phosphoshikimic acid[c] + phosphate[c],1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4,YDR127W,,,,,kegg.reaction/R03460;metanetx.reaction/MNXR103226;pmid/6355828;sbo/SBO:0000176,"sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids",,,6355828,3.0,0.055219856,0.11950987
49,,r_0066,4-amino-4-deoxychorismate synthase,chorismate[c] + L-glutamine[c] => 4-amino-4-deoxychorismate[c] + L-glutamate[c],2.6.1.85,YNR033W,,,,,kegg.reaction/R01716;metanetx.reaction/MNXR95440;sbo/SBO:0000176,sce00790  Folate biosynthesis,,,,2.0,1.1303255e-05,2.4463130999999998e-05
50,,r_0067,4-aminobenzoate synthase,4-amino-4-deoxychorismate[c] => 4-aminobenzoate[c] + H+[c] + pyruvate[c],4.1.3.38,YMR289W,,,,,kegg.reaction/R05553;metanetx.reaction/MNXR95436;sbo/SBO:0000176,,,,,2.0,1.1303255e-05,2.4463130999999998e-05
51,,r_0068,4-aminobutyrate transaminase,2-oxoglutarate[c] + gamma-aminobutyrate[c] => L-glutamate[c] + succinic semialdehyde[c],2.6.1.19,YGR019W,,,,,kegg.reaction/R01648;metanetx.reaction/MNXR95186;pmid/10590462;sbo/SBO:0000176,"sce00250  Alanine, aspartate and glutamate metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00410  beta-Alanine metabolism;sce00640  Propanoate metabolism;sce00650  Butanoate metabolism",,,10590462,3.0,2.1394174e-07,4.6302456e-07
52,,r_0069,4-hydroxy-L-threonine synthase,4-(phosphonooxy)-L-threonine[c] + H2O[c] => 4-hydroxy-L-threonine[c] + phosphate[c],4.2.3.1,YCR053W,,,,,kegg.reaction/R05086;metanetx.reaction/MNXR95024;pmid/8082795;sbo/SBO:0000176,"sce00260  Glycine, serine and threonine metabolism;sce00750  Vitamin B6 metabolism;sce01110  Biosynthesis of secondary metabolites;sce01230  Biosynthesis of amino acids",,,8082795,3.0,0.0,0.0
53,,r_0070,4-hydroxybenzoate formation,4-hydroxybenzoyl-CoA[m] + H2O[m] => 4-hydroxybenzoate[m] + coenzyme A[m] + H+[m],,,,,,,kegg.reaction/R01301;metanetx.reaction/MNXR95011;pmid/11583838;sbo/SBO:0000176,,,,11583838,0.0,0.0,0.0
54,,r_0072,4-methyl-2-oxopentanoate decarboxylase,4-methyl-2-oxopentanoate[c] + H+[c] => 3-methylbutanal[c] + carbon dioxide[c],4.1.1.-,YDL080C,,,,,metanetx.reaction/MNXR95033;pmid/12902239;sbo/SBO:0000176,Gluconeogenesis;sce00010  Glycolysis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics,,,12902239,3.0,0.0,0.0
55,,r_0073,4PP-IP5 depyrophosphorylation to IP6,4-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c] <=> 2 H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c],2.7.4.21; 2.7.4.24; 3.6.1.52; 3.6.1.60,YLR410W or YOR163W,,,,,kegg.reaction/R05779;metanetx.reaction/MNXR103044;pmid/17412958;sbo/SBO:0000176,,,,17412958,3.0,0.0,0.0
56,,r_0074,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4","4-diphospho-1D-myo-inositol pentakisphosphate[c] + ATP[c] + 2 H+[c] => 4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + ADP[c] + H2O[c]",2.7.4.21,YDR017C,,,,,pmid/17412958;sbo/SBO:0000176,sce04070  Phosphatidylinositol signaling system;sce04138  Autophagy - yeast,,,17412958,3.0,0.0,0.0
57,,r_0075,5'-methylthioadenosine phosphorylase,5'-S-methyl-5'-thioadenosine[c] + phosphate[c] => adenine[c] + S-methyl-5-thio-alpha-D-ribose 1-phosphate[c],2.4.2.28,YLR017W,,,,,kegg.reaction/R01402;metanetx.reaction/MNXR101745;pmid/14506228;sbo/SBO:0000176,sce00270  Cysteine and methionine metabolism,,,14506228,3.0,0.0,0.0
