"","Chr","Start","End","Strand","Length","wt00_sorted.bam","wt02_sorted.bam","wt05_sorted.bam","wt10_sorted.bam","wt15_sorted.bam","wt20_sorted.bam","wt30_sorted.bam","wt45_sorted.bam"
"YDL209C","IV","86207","87226","-",1020,32,32,215,211,166,165,205,170
"YDL208W","IV","87512","87982","+",471,84,109,583,1220,1297,1638,2055,1460
"YDL207W","IV","88248","89864","+",1617,499,426,522,453,426,484,539,497
"YDL206W","IV","90176","92464","+",2289,742,571,572,328,168,122,164,176
"YDL205C","IV","92762","93745","-",984,391,350,356,298,319,352,451,485
"YDL204W","IV","94605","95786","+",1182,5886,4631,2064,397,122,71,80,119
"YDL203C","IV","96082","97953","-",1872,381,321,395,411,342,338,370,285
"YDL202W","IV","98475","99224","+",750,266,266,248,264,205,216,219,192
"YDL201W","IV","99561","100421","+",861,48,41,167,349,327,495,629,371
"YDL200C","IV","100501","101067","-",567,419,447,410,413,294,251,257,193
"YDL199C","IV","101290","103353","-",2064,912,768,321,107,63,35,33,86
"YDL198C","IV","103649","104551","-",903,144,80,159,420,434,436,615,506
"YDL197C","IV","104917","106494","-",1578,657,575,340,198,221,191,337,331
"YDL196W","IV","106741","107070","+",330,2,4,3,0,2,5,1,0
"YDL195W","IV","107208","111029","+",3822,2245,1990,1722,1435,1411,1601,2122,1925
"YDL194W","IV","111580","114234","+",2655,1117,739,206,48,34,54,103,104
"YDL193W","IV","114672","115799","+",1128,584,456,366,320,281,302,382,322
"YDL192W","IV","116321","116866","+",546,627,703,954,1457,1819,2258,3697,3853
"YDL191W","IV;IV","117664;118158","117666;118517","+;+",363,360,378,644,1487,2026,2926,5498,7076
"YDL190C","IV","118707","121592","-",2886,1159,1163,1038,1053,839,865,918,900
"YDL189W","IV","122216","123589","+",1374,278,292,415,571,573,647,739,689
"YDL188C","IV","123865","124998","-",1134,743,690,679,603,440,433,489,588
"YDL187C","IV","125509","125838","-",330,12,17,16,3,4,2,9,6
"YDL185W","IV","126787","130002","+",3216,4444,4097,4547,4592,3948,4586,6227,6676
"YDL184C","IV","130407","130484","-",78,632,588,531,688,668,735,1401,1919
"YDL183C","IV","130871","131833","-",963,560,464,179,69,60,47,76,77
"YDL182W","IV","133437","134723","+",1287,392,401,1467,1237,734,1343,4054,2543
"YDL181W","IV","135179","135436","+",258,1231,1230,1070,657,316,154,72,209
"YDL180W","IV","135896","137539","+",1644,517,375,453,359,261,209,263,234
"YDL179W","IV","138291","139205","+",915,249,274,259,210,189,262,270,232
"YDL178W","IV","139522","141114","+",1593,1026,1000,1107,1726,1568,1278,910,535
"YDL177C","IV","141209","141721","-",513,63,91,191,166,145,124,110,91
"YDL176W","IV","142097","144223","+",2127,350,301,390,351,292,284,353,338
"YDL175C","IV","144484","145518","-",1035,301,287,237,174,178,193,208,188
"YDL174C","IV","145826","147589","-",1764,3389,3051,2645,1198,720,654,904,1051
"YDL173W","IV","148191","149078","+",888,747,756,912,800,519,526,530,568
"YDL172C","IV","148607","149086","-",480,17,7,10,21,19,23,22,13
"YDL171C","IV","149203","155640","-",6438,1543,1341,1504,3396,2464,2456,2819,1824
"YDL170W","IV","156318","157904","+",1587,295,327,646,480,381,352,349,276
"YDL169C","IV","158064","158735","-",672,1282,1265,748,170,61,36,21,24
"YDL168W","IV","159604","160764","+",1161,462,506,597,656,627,576,630,516
"YDL167C","IV","160995","163154","-",2160,31,31,492,938,858,1268,1291,633
"YDL166C","IV","163449","164042","-",594,49,42,95,261,363,372,483,312
"YDL165W","IV","164290","164865","+",576,406,412,316,358,332,319,337,247
"YDL164C","IV","164987","167254","-",2268,167,154,142,381,523,556,748,582
"YDL161W","IV","167714","169078","+",1365,1576,1567,1114,782,724,609,666,601
"YDL160C-A","IV","169366","169608","-",243,78,77,82,91,88,98,85,61
"YDL160C","IV","170410","171930","-",1521,1698,1662,1264,796,452,515,577,607
"YDL159W","IV","172481","174028","+",1548,455,403,336,263,193,197,190,165
"YDL158C","IV","173866","174174","-",309,14,10,24,45,56,71,129,143
"YDL157C","IV","174232","174588","-",357,60,58,75,157,216,314,475,501
"YDL156W","IV","174918","176486","+",1569,45,42,62,130,153,137,166,142
"YDL155W","IV","176773","178056","+",1284,264,238,252,295,377,454,507,467
"YDL154W","IV","178334","181039","+",2706,148,141,130,94,102,117,238,272
"YDL153C","IV","181186","183018","-",1833,42,47,458,1248,1421,1947,2598,1292
"YDL152W","IV","182822","183187","+",366,0,0,0,4,2,2,7,3
"YDL151C","IV","183318","183899","-",582,0,0,1,4,1,3,4,1
"YDL150W","IV","183343","184611","+",1269,56,47,329,640,572,759,857,507
"YDL149W","IV","184925","187918","+",2994,946,716,600,566,287,101,108,146
"YDL148C","IV","188154","190586","-",2433,21,27,514,1690,1769,2339,2847,1382
"YDL147W","IV","190924","192261","+",1338,4306,4354,3538,2333,1903,1718,1769,1627
"YDL146W","IV","192750","194225","+",1476,232,226,268,308,201,121,148,231
"YDL145C","IV","194571","198176","-",3606,2087,1949,1742,1965,2095,2755,3615,3611
"YDL144C","IV","198662","199732","-",1071,467,459,465,427,272,299,287,232
"YDL143W","IV","199996","201582","+",1587,709,663,955,1397,1434,1764,2308,1670
"YDL142C","IV","201719","202570","-",852,476,480,231,134,90,69,81,113
"YDL141W","IV","203039","205111","+",2073,241,260,328,385,370,411,514,458
"YDL140C","IV","205360","210561","-",5202,2607,2030,1566,2196,1832,2229,2492,2369
"YDL139C","IV","211375","212046","-",672,52,53,120,78,63,58,77,79
"YDL138W","IV","213351","215642","+",2292,106,106,601,386,245,243,202,148
"YDL137W","IV","216529","217074","+",546,2271,2386,2218,1930,1547,1466,1596,1804
"YDL136W","IV;IV","217600;218008","217602;218367","+;+",363,230,228,557,1285,1915,2732,5242,6316
"YDL135C","IV","218680","219288","-",609,847,892,721,705,580,548,641,695
"YDL134C","IV","219662","220771","-",1110,1518,1499,1320,1098,818,719,765,760
"YDL133C-A","IV","221724","221801","-",78,559,497,513,707,665,868,1540,1735
"YDL133W","IV","222427","223740","+",1314,414,292,423,442,368,344,331,342
"YDL132W","IV","224304","226751","+",2448,1962,1864,1698,1390,1123,1074,1197,1248
"YDL131W","IV","227393","228715","+",1323,356,345,804,1263,1263,1705,3138,2032
"YDL130W-A","IV","229171","229431","+",261,2952,2929,2393,1451,785,487,195,124
"YDL130W","IV;IV","229906;230321","230019;230527","+;+",321,86,92,249,668,890,1498,2945,3834
"YDL129W","IV","231024","231899","+",876,90,93,105,77,49,81,85,48
"YDL128W","IV","232652","233887","+",1236,778,699,649,613,470,460,427,499
"YDL127W","IV","234927","235853","+",927,75,55,132,298,199,245,300,225
"YDL126C","IV","236157","238664","-",2508,12158,11469,9777,6470,4399,4191,4220,4634
"YDL125C","IV;IV","239019;239510","239398;239606","-;-",477,1244,1188,1248,720,442,466,612,743
"YDL124W","IV","240259","241197","+",939,5631,5649,6143,4718,2771,1795,814,1197
"YDL123W","IV","241418","241840","+",423,253,235,189,126,83,90,64,64
"YDL122W","IV","242552","244981","+",2430,698,691,1261,1663,1305,1635,1749,1222
"YDL121C","IV","245133","245582","-",450,29,35,110,284,322,444,638,443
"YDL120W","IV","245923","246447","+",525,456,473,461,408,352,371,385,340
"YDL119C","IV","246689","247612","-",924,149,150,156,160,109,103,106,95
"YDL117W","IV","248581","251238","+",2658,327,256,395,589,515,629,668,495
"YDL116W","IV","251566","253746","+",2181,772,775,876,870,743,761,821,750
"YDL115C","IV;IV","253995;255045","254974;255126","-;-",1062,1050,1023,784,458,346,282,328,300
"YDL114W-A","IV","254935","255048","+",114,6,1,4,3,0,1,3,0
"YDL114W","IV","255604","256530","+",927,2,0,3,6,1,0,1,1
"YDL113C","IV","256633","258555","-",1923,2195,2006,1262,547,364,244,253,395
"YDL112W","IV","258915","263225","+",4311,66,61,213,708,839,1288,1598,1007
"YDL111C","IV","263313","264110","-",798,192,200,306,317,281,313,367,270
"YDL110C","IV","264512","264964","-",453,3768,3271,1605,449,249,176,132,241
"YDL109C","IV","265258","267201","-",1944,234,179,229,184,143,136,167,152
"YDL108W","IV;IV","267698;267807","267725;268699","+;+",921,127,123,192,222,182,238,211,167
"YDL107W","IV","268921","269976","+",1056,385,373,295,206,110,135,102,97
"YDL106C","IV","270222","271901","-",1680,1141,997,514,576,425,349,401,348
"YDL105W","IV","272389","273597","+",1209,105,115,133,227,212,211,204,165
"YDL104C","IV","273653","274876","-",1224,123,143,121,118,89,97,47,66
"YDL103C","IV","275148","276581","-",1434,405,384,402,473,551,637,650,515
"YDL102W","IV","276872","280165","+",3294,217,241,300,538,674,687,842,474
"YDL101C","IV","280307","281848","-",1542,160,162,94,316,508,457,528,383
"YDL100C","IV","282112","283176","-",1065,1065,1006,1073,1202,1244,1447,2066,2111
"YDL099W","IV","283419","284444","+",1026,1376,1336,1300,1220,1054,896,965,783
"YDL098C","IV","284581","285165","-",585,68,95,98,97,106,110,126,109
"YDL097C","IV","285391","286695","-",1305,3431,3182,2279,1398,1178,1249,1323,1255
"YDL095W","IV","287059","289512","+",2454,1186,1115,1116,1370,1609,2045,3249,3010
"YDL094C","IV","289572","290081","-",510,4,10,14,9,6,7,6,4
"YDL093W","IV","289909","292140","+",2232,118,112,138,227,290,399,585,517
"YDL092W","IV","292781","293221","+",441,280,284,322,397,442,442,537,418
"YDL091C","IV","293392","294759","-",1368,1304,1264,758,315,266,199,221,226
"YDL090C","IV","295034","296329","-",1296,356,373,350,296,287,272,308,226
"YDL089W","IV","296820","298274","+",1455,618,602,468,380,316,265,298,294
"YDL088C","IV","298417","300003","-",1587,977,850,721,591,436,475,567,517
"YDL087C","IV","300214","300999","-",786,164,159,145,135,81,92,80,83
"YDL086W","IV","301413","302234","+",822,775,750,745,490,334,274,288,265
"YDL086C-A","IV","301655","302089","-",435,4,4,3,10,8,8,15,14
"YDL085C-A","IV","302464","302670","-",207,111,94,112,139,153,175,286,368
"YDL085W","IV","303211","304848","+",1638,2531,2355,1871,585,172,43,26,19
"YDL084W","IV","305237","306577","+",1341,1848,1859,2087,2530,2674,3477,5589,6812
"YDL083C","IV;IV","306926;307766","307333;307789","-;-",432,72,73,265,996,1490,2314,4595,5244
"YDL082W","IV;IV","308424;308793","308427;309388","+;+",600,61,67,359,1190,1599,2437,4456,4071
"YDL081C","IV","309802","310122","-",321,283,257,552,1119,1507,2196,4285,5681
"YDL080C","IV","310642","312471","-",1830,310,269,225,258,213,249,259,266
"YDL079C","IV;IV","312951;314337","314044;314748","-;-",1506,3485,2582,525,51,35,32,32,57
"YDL078C","IV","315357","316388","-",1032,3785,3951,3102,1959,1216,872,838,843
"YDL077C","IV","316971","320120","-",3150,676,622,590,493,356,425,510,471
"YDL076C","IV","320668","321552","-",885,488,513,425,371,333,256,286,372
"YDL075W","IV;IV","322226;322704","322282;322988","+;+",342,232,242,486,1520,2111,3222,6212,8264
"snR63","IV","323217","323471","-",255,19,12,16,17,8,12,23,30
"YDL074C","IV","324047","326149","-",2103,554,500,887,1020,930,1079,1254,1119
"YDL073W","IV","326613","329567","+",2955,192,232,479,777,754,750,806,729
"YDL072C","IV","329836","330447","-",612,2374,2294,1857,1096,586,463,431,627
"YDL071C","IV","330666","331040","-",375,0,2,0,1,2,4,0,3
"YDL070W","IV","331024","332940","+",1917,2144,1886,2025,1368,965,895,1098,1671
"YDL069C","IV","333121","333810","-",690,74,86,114,113,106,94,82,90
"YDL067C","IV","334217","334396","-",180,731,828,686,434,242,193,201,233
"YDL066W","IV","334835","336121","+",1287,972,915,1252,1071,699,676,860,1072
"YDL065C","IV","336249","337277","-",1029,1194,1164,933,762,742,662,721,567
"YDL064W","IV;IV","337487;337635","337524;338070","+;+",474,253,256,289,306,358,440,542,501
"YDL063C","IV","338272","340134","-",1863,16,9,261,641,703,1091,1220,425
"YDL062W","IV","339857","340282","+",426,4,5,6,1,0,0,0,1
"YDL061C","IV","340628","340798","-",171,104,111,267,686,825,1184,2035,2363
"YDL060W","IV","341619","343985","+",2367,28,22,466,1152,1080,1498,1840,870
"YDL059C","IV","344237","344953","-",717,140,136,240,616,406,66,29,37
"YDL058W","IV","345665","351037","+",5373,938,925,849,1578,1489,1261,1375,1320
"YDL057W","IV","351434","352420","+",987,236,220,220,145,95,64,66,52
"YDL056W","IV","352877","355378","+",2502,602,593,613,576,483,510,615,586
"YDL055C","IV","355674","356759","-",1086,2093,2001,2575,9012,10467,12005,16404,18613
"YDL054C","IV","359825","361285","-",1461,584,489,383,456,504,406,238,192
"YDL053C","IV","361699","362256","-",558,686,712,666,849,612,586,458,396
"YDL052C","IV","362672","363583","-",912,277,231,308,515,526,524,495,556
"YDL051W","IV","363952","364779","+",828,113,138,512,927,1126,1683,2361,1460
"YDL050C","IV","364446","364817","-",372,1,0,1,1,2,1,2,5
"YDL049C","IV","365068","365874","-",807,47,50,78,106,89,76,102,117
"YDL048C","IV","366739","368211","-",1473,254,360,689,32,18,16,33,47
"YDL047W","IV","369771","370706","+",936,661,628,557,471,385,439,550,487
"YDL046W","IV","371240","371761","+",522,2397,2346,2072,1284,715,624,617,568
"YDL045W-A","IV","372248","372535","+",288,275,247,262,215,179,167,177,157
"YDL045C","IV","372688","373608","-",921,638,648,433,303,205,214,199,202
"YDL044C","IV","373967","375289","-",1323,298,234,225,225,167,160,162,170
"YDL043C","IV","375680","376480","-",801,128,139,152,210,176,201,238,172
"YDL042C","IV","376757","378445","-",1689,108,108,96,150,144,207,318,233
"YDL040C","IV","378874","381438","-",2565,958,922,1083,1163,1196,1438,1980,1617
"YDL039C","IV","381985","384081","-",2097,33,29,2159,267,167,420,372,81
"YDL037C","IV","384601","385587","-",987,22,21,982,115,72,209,159,43
"YDL036C","IV","387513","388901","-",1389,91,122,197,222,214,275,333,188
"YDL035C","IV","389172","392057","-",2886,1546,1310,1295,1238,879,712,784,768
"YDL033C","IV","392659","393912","-",1254,108,89,76,77,78,79,109,91
"YDL031W","IV","394217","397204","+",2988,100,86,621,1542,1458,1990,2462,1191
"YDL030W","IV","397537","399129","+",1593,111,132,209,200,196,203,273,171
"YDL029W","IV;IV","399340;399485","399361;400638","+;+",1176,2027,1862,1820,1555,1155,1248,1245,1255
"YDL028C","IV","400997","403291","-",2295,533,489,445,415,312,427,452,526
"YDL027C","IV","403695","404957","-",1263,1706,1759,1139,650,466,263,271,407
"YDL025C","IV","405344","407206","-",1863,1822,1675,1252,1279,1002,667,256,343
"YDL024C","IV","408451","409857","-",1407,332,273,185,93,41,38,25,15
"YDL022C-A","IV","409808","410056","-",249,32,18,15,2,1,0,1,0
"YDL023C","IV","411761","412081","-",321,3,5,1,1,4,1,1,2
"YDL022W","IV","411825","413000","+",1176,2931,2529,1677,675,435,270,156,678
"YDL021W","IV","413953","414888","+",936,1055,982,693,445,341,248,148,167
"YDL020C","IV","415113","416708","-",1596,1584,1216,658,570,412,424,499,599
"YDL019C","IV","417663","421514","-",3852,2894,2508,1454,781,604,496,590,817
"YDL018C","IV","422833","423510","-",678,609,579,302,248,288,290,326,308
"YDL017W","IV","424209","425732","+",1524,241,206,201,164,147,146,173,147
"YDL016C","IV","425570","425872","-",303,156,148,151,128,116,94,133,149
"YDL015C","IV","426002","426934","-",933,1423,1516,1545,1457,1169,1142,1395,1474
"YDL014W","IV","427364","428347","+",984,15,65,856,1777,1980,2841,3931,2657
"YDL013W","IV","429067","430926","+",1860,478,452,503,350,265,277,294,288
"YDL012C","IV;IV","431108;431473","431386;431517","-;-",324,83,82,120,84,109,95,151,134
"YDL010W","IV","432330","433025","+",696,422,442,479,338,331,288,330,316
"YDL008W","IV","433497","433994","+",498,120,111,132,147,147,146,133,122
"YDL007W","IV","438047","439360","+",1314,3054,2925,2747,2285,1921,1848,1861,1586
"YDL006W","IV","439909","440754","+",846,327,347,241,253,237,234,291,249
"YDL005C","IV","441014","442309","-",1296,1645,1422,1102,620,498,450,645,552
"YDL004W","IV","443029","443511","+",483,1738,1849,1714,1320,904,670,601,800
"YDL003W","IV","444683","446383","+",1701,59,76,125,1008,1371,1165,1357,1055
"YDL002C","IV","446967","447578","-",612,558,576,474,411,329,312,344,336
"YDL001W","IV","447984","449276","+",1293,223,183,201,244,240,254,297,260
"YDR001C","IV","450220","452475","-",2256,5918,5366,5378,3202,1884,1359,834,1012
"YDR002W","IV","453045","453650","+",606,820,905,1285,1449,1641,2070,3152,3572
"YDR003W","IV","454122","454754","+",633,637,560,356,228,155,120,147,162
"YDR003W-A","IV","454782","454904","+",123,162,171,108,66,46,28,30,34
"YDR004W","IV","455201","456583","+",1383,302,297,287,394,303,234,253,224
"YDR005C","IV;IV","456836;458098","458017;458103","-;-",1188,708,691,637,653,562,568,625,469
"YDR006C","IV","458542","461247","-",2706,1784,1618,1608,633,606,632,560,569
"YDR007W","IV","461842","462516","+",675,490,495,499,373,323,262,262,234
"YDR008C","IV","462252","462602","-",351,4,7,5,7,3,2,3,3
"YDR009W","IV","463434","464996","+",1563,309,316,221,71,44,29,42,39
"YDR010C","IV","465051","465383","-",333,2,5,4,7,2,3,1,1
"YDR011W","IV","465919","470424","+",4506,2201,1823,1466,912,617,833,1084,1182
"YDR012W","IV","471853","472941","+",1089,749,718,1396,2192,2169,3196,5992,7360
"YDR013W","IV","473157","473783","+",627,84,94,112,171,171,148,186,144
"YDR014W","IV","474046","475989","+",1944,356,339,272,249,190,196,191,186
"YDR014W-A","IV","477797","478285","+",489,71,50,54,31,25,13,18,6
"YDR016C","IV","478474","478758","-",285,187,218,173,179,124,151,118,153
"YDR017C","IV","479115","482267","-",3153,754,696,693,995,997,1394,1835,1146
"YDR018C","IV","482670","483860","-",1191,548,510,232,40,27,23,23,18
"YDR019C","IV","484163","485365","-",1203,5422,5396,6689,10951,10631,7758,1600,199
"YDR020C","IV","485746","486444","-",699,16,14,69,167,142,175,177,98
"YDR021W","IV","486804","488003","+",1200,11,10,137,309,286,374,321,146
"YDR022C","IV","488072","488662","-",591,305,295,373,242,184,165,112,130
"tV(UAC)D","IV","488797","488870","-",74,0,0,1,5,3,3,1,0
"YDR023W","IV","489508","490896","+",1389,1031,1005,1584,2786,3228,3991,6328,6701
"YDR024W","IV","491017","491502","+",486,15,25,37,49,59,88,144,144
"YDR025W","IV;IV","491515;491899","491559;492324","+;+",471,102,87,389,1334,1840,3108,5663,5826
"YDR026C","IV","492556","494268","-",1713,364,362,502,531,492,487,538,463
"YDR027C","IV","494649","497318","-",2670,1270,1126,774,551,442,402,520,658
"YDR028C","IV","497835","500879","-",3045,3637,3479,2881,2088,1595,1523,1610,1652
"YDR030C","IV","501753","503273","-",1521,179,136,203,140,112,123,113,87
"YDR031W","IV","503498","503863","+",366,737,705,366,159,110,77,73,76
"YDR032C","IV","504099","504695","-",597,4935,4744,4067,3016,2107,1909,1534,1191
"YDR033W","IV","508147","509109","+",963,1315,1179,3391,5333,4351,3917,4579,6353
"YDR034C","IV","509737","512109","-",2373,755,653,838,850,611,665,814,686
"YDR034C-D","IV","514043","519356","-",5314,1030,1004,999,1169,1211,1300,1325,1093
"YDR034C-A","IV","520516","520692","-",177,4,3,2,0,1,0,1,4
"YDR034W-B","IV","521314","521469","+",156,320,304,281,222,108,60,38,6
"YDR035W","IV","521816","522928","+",1113,782,745,893,1085,1107,1429,2113,1569
"YDR036C","IV","523211","524713","-",1503,525,564,503,372,321,328,370,297
"YDR037W","IV","525440","527215","+",1776,139,223,1729,3412,4075,5653,8642,7577
"YDR038C","IV","527422","530697","-",3276,3522,2842,4841,2356,751,684,854,674
"YDR039C","IV","531307","534582","-",3276,4327,3633,5729,3052,864,744,917,784
"YDR040C","IV","535192","538467","-",3276,6299,5272,8344,4095,967,775,1000,758
"YDR041W","IV","539803","540414","+",612,1326,1436,1701,883,524,302,225,225
"YDR042C","IV","540601","541203","-",603,6,9,8,10,10,17,10,18
"snR47","IV","541602","541700","-",99,5,3,5,0,1,0,2,1
"YDR043C","IV","542674","543369","-",696,559,632,1524,642,117,64,107,186
"YDR044W","IV","546642","547628","+",987,67,39,72,121,155,273,711,610
"YDR045C","IV","547978","548310","-",333,60,71,111,234,232,266,331,227
"YDR046C","IV","548762","550576","-",1815,870,762,2766,1771,488,142,423,689
"YDR047W","IV","551860","552948","+",1089,806,721,1038,710,474,481,690,653
"YDR048C","IV","553084","553398","-",315,8,4,8,5,1,1,2,1
"YDR049W","IV","553254","555152","+",1899,320,332,414,477,364,431,530,459
"YDR050C","IV","555726","556472","-",747,5578,5296,5655,8229,10723,13515,19989,22028
"YDR051C","IV","557056","558060","-",1005,462,465,388,432,392,409,425,384
"YDR052C","IV","558511","560625","-",2115,599,497,555,655,613,692,787,743
"YDR054C","IV","561440","562327","-",888,1652,1657,1373,929,645,683,695,581
"YDR055W","IV","563527","564861","+",1335,349,306,1426,2648,1487,1440,1169,990
"YDR056C","IV","565023","565640","-",618,682,686,641,556,502,483,602,602
"YDR057W","IV","565927","567555","+",1629,439,405,405,443,265,250,283,267
"YDR058C","IV","567723","568703","-",981,459,455,366,254,164,140,114,129
"YDR059C","IV;IV","569234;569724","569633;569770","-;-",447,321,339,266,201,125,99,55,43
"YDR060W","IV","570649","573726","+",3078,53,52,852,2136,2199,3338,4324,2356
"YDR061W","IV","574164","575783","+",1620,641,569,362,432,527,467,436,361
"YDR062W","IV","576474","578159","+",1686,697,641,880,1090,1169,1260,1757,1770
"YDR063W","IV","578663","579112","+",450,854,883,775,570,353,276,335,417
"YDR064W","IV;IV","579458;580018","579478;580452","+;+",456,106,111,574,1768,2485,3736,6791,9315
"YDR065W","IV","580687","581784","+",1098,152,190,200,198,154,116,158,145
"YDR066C","IV","581908","582498","-",591,102,93,59,92,66,54,50,33
"YDR067C","IV","582791","583465","-",675,461,468,611,693,330,225,123,138
"YDR068W","IV","583713","584645","+",933,993,1064,1035,1031,828,691,615,601
"YDR069C","IV","584939","587719","-",2781,1079,994,727,495,311,249,312,362
"YDR070C","IV","588098","588379","-",282,3670,3611,2616,1187,363,170,45,36
"YDR071C","IV","588827","589402","-",576,931,920,825,1010,981,1002,1214,1002
"YDR072C","IV","589761","591344","-",1584,447,384,482,192,155,184,335,357
"YDR073W","IV","592439","592948","+",510,562,537,256,127,89,97,140,149
"YDR074W","IV","593893","596583","+",2691,9103,6833,2727,980,468,383,459,1307
"YDR075W","IV","597156","598082","+",927,86,90,196,279,250,308,311,227
"YDR076W","IV","598468","599688","+",1221,35,26,51,78,84,116,139,90
"YDR077W","IV","600793","601809","+",1017,14446,11958,14916,15316,9636,7588,8090,9271
"YDR078C","IV","602198","602869","-",672,93,95,91,85,55,52,77,70
"YDR079W","IV","603064","603399","+",336,426,487,339,177,140,136,100,107
"YDR079C-A","IV","603593","603811","-",219,75,52,73,73,61,53,69,52
"YDR080W","IV","604008","606986","+",2979,853,803,829,652,448,460,515,444
"YDR081C","IV","607304","610081","-",2778,519,504,725,919,682,588,680,528
"YDR082W","IV","610441","611925","+",1485,282,273,401,314,211,207,186,167
"YDR083W","IV","612073","613251","+",1179,30,35,221,679,666,1028,1377,659
"YDR084C","IV","613405","614004","-",600,363,333,328,232,220,178,222,279
"YDR085C","IV","614288","616150","-",1863,1420,1417,645,296,181,97,100,123
"YDR086C","IV","616928","617170","-",243,479,449,551,779,853,938,1219,1210
"YDR087C","IV","617470","618306","-",837,7,10,118,424,494,681,896,418
"YDR088C","IV","618497","619645","-",1149,522,570,469,359,250,216,271,238
"YDR089W","IV","622112","624721","+",2610,638,560,1951,4653,2242,1186,495,496
"YDR090C","IV","625066","625998","-",933,193,175,390,234,181,181,179,164
"YDR091C","IV","626708","628534","-",1827,70,72,565,1381,1436,1916,2370,1594
"YDR092W","IV;IV","629876;630174","629905;630605","+;+",462,291,247,265,291,321,377,409,375
"YDR093W","IV","631282","636120","+",4839,412,395,330,680,764,814,1051,996
"YDR096W","IV","637139","639823","+",2685,2325,1857,854,218,89,119,175,298
"YDR097C","IV","640109","643837","-",3729,100,105,105,409,842,1121,1283,885
"YDR098C","IV","644178","644930","-",753,336,363,567,932,955,976,936,754
"YDR098C-B","IV","645858","651126","-",5269,1291,1204,1258,1349,1360,1549,1580,1511
"YDR099W","IV","653607","654428","+",822,5767,5503,4581,3009,2048,2095,2258,2830
"YDR100W","IV","655013","655444","+",432,885,899,621,263,192,180,135,209
"YDR101C","IV","655686","657467","-",1782,11,14,341,944,971,1383,1637,709
"YDR102C","IV","657648","657980","-",333,0,1,1,5,6,10,5,5
"YDR103W","IV","658350","661103","+",2754,491,456,586,614,431,477,512,456
"YDR104C","IV","661173","664910","-",3738,492,485,544,510,381,326,333,309
