Compound,Pathways of compound,ChEBI,Molecular-Weight,KEGG,Object ID
L-1-LYSOPHOSPHATIDATE,PWY-7420 // TRIGLSYN-PWY // PWY-5667 // PWY4FS-8 // PWY3O-6407 // PWY3O-6499 // PWY-7417 // PWY-7411,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74544'>74544</a>,434.509,,L-1-LYSOPHOSPHATIDATE
ARACHIDONIC_ACID,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32395'>32395</a>,303.464,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00219'>C00219</a>,ARACHIDONIC_ACID
CPD-18348,TRIGLSYN-PWY // PWY-5667 // PWY4FS-8 // PWY3O-6407 // PWY3O-6499,,434.509,,CPD-18348
OLEATE-CPD,PWY-5996 // PWY-7420 // PWY-7409 // PWY-7417 // PWY-7424 // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30823'>30823</a>,281.457,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00712'>C00712</a>,OLEATE-CPD
CPD-18379,TRIGLSYN-PWY // PWY-5667 // PWY4FS-8 // PWY3O-6407 // PWY3O-6499,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:72683'>72683</a>,380.417,,CPD-18379
CPD-14927,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY,,309.511,,CPD-14927
1-PALMITOYLGLYCEROL-3-PHOSPHATE,TRIGLSYN-PWY // PWY-5667 // PWY4FS-8 // PWY3O-6407 // PWY3O-6499,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57518'>57518</a>,408.471,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04036'>C04036</a>,1-PALMITOYLGLYCEROL-3-PHOSPHATE
CPD-14268,PWY-5148 // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // YEAST-FAO-PWY // PWY-7288,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32392'>32392</a>,365.618,,CPD-14268
GLYCEROL-3P,PWY-7366 // PWY-7367 // PWY-7409 // TRIGLSYN-PWY // PWY-6952-1 // PWY-4261-YEAST // PWY-5667 // PWY-7411 // PWY-6118-YEAST // PWY3O-6499 // PWY3O-48 // PWY4FS-8 // PWY-5269,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57597'>57597</a>,170.058,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00093'>C00093</a>,GLYCEROL-3P
CPD-13086,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:84028'>84028</a>,313.456,,CPD-13086
SN-GLYCEROL-1-PHOSPHATE,PWY3O-48,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57685'>57685</a>,170.058,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00623'>C00623</a>,SN-GLYCEROL-1-PHOSPHATE
VANILLYL_MANDELATE,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27622'>27622</a>,197.167,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05584'>C05584</a>,VANILLYL_MANDELATE
B-XXYL-PEN-1:5,,,,,B-XXYL-PEN-1:5
A-DXYL-PEN-1:5,,,,,A-DXYL-PEN-1:5
CPD-19573,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY,,127.143,,CPD-19573
X-DXYL-PEN-1:5,,,,,X-DXYL-PEN-1:5
A-LXYL-PEN-1:5,,,,,A-LXYL-PEN-1:5
B-DXYL-PEN-1:5,,,,,B-DXYL-PEN-1:5
CPD-10246,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58824'>58824</a>,138.095,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14179'>C14179</a>,CPD-10246
PENTANOL,PWY-6348 // PWY-6952-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:44884'>44884</a>,88.149,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16834'>C16834</a>,PENTANOL
PROPANOL,PWY-6348 // PWY-6952-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28831'>28831</a>,60.096,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05979'>C05979</a>,PROPANOL
METOH,PWY-7546 // PWY-6348 // PWY-6952-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17790'>17790</a>,32.042d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00132'>C00132</a>,METOH
ETOH,PWY-6348 // PWY-6952-1 // PWY-7118 // PWY66-21 // PWY-5486,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16236'>16236</a>,46.069d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00469'>C00469</a>,ETOH
BUTANOL,PWY-6348 // PWY-6952-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28885'>28885</a>,74.122,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06142'>C06142</a>,BUTANOL
CPD-568,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58324'>58324</a>,189.3,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00612'>C00612</a>,CPD-568
PHYTOL,PWY-6348 // PWY-6952-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17327'>17327</a>,296.535,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01389'>C01389</a>,PHYTOL
N1-ACETYLSPERMINE,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58101'>58101</a>,247.403,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02567'>C02567</a>,N1-ACETYLSPERMINE
OCTANOL,PWY-6348 // PWY-6952-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16188'>16188</a>,130.23,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00756'>C00756</a>,OCTANOL
CPD-3462,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58535'>58535</a>,189.3,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01029'>C01029</a>,CPD-3462
HEXANOL-CMPD,PWY-6348 // PWY-6952-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87393'>87393</a>,102.176,,HEXANOL-CMPD
NICOTINE,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:59806'>59806</a>,163.242,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00745'>C00745</a>,NICOTINE
CPD-9846,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28593'>28593</a>,325.43,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06527'>C06527</a>,CPD-9846
CPD-9057,PWY-6348 // PWY-6952-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:113605'>113605</a>,116.203,,CPD-9057
SPERMINE,ARGSPECAT-PWY // PWY-5760,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:45725'>45725</a>,206.374,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00750'>C00750</a>,SPERMINE
DIACETYL,PWY-5938,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16583'>16583</a>,86.09d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00741'>C00741</a>,DIACETYL
CPD-313,PWY-5905,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57484'>57484</a>,76.141,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00986'>C00986</a>,CPD-313
CPD-318,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16504'>16504</a>,175.118,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01041'>C01041</a>,CPD-318
PUTRESCINE,PWY-46 // BSUBPOLYAMSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:326268'>326268</a>,90.168,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00134'>C00134</a>,PUTRESCINE
CPD-12377,DETOX1-PWY-1 // PWY-6502,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29191'>29191</a>,17.007,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16844'>C16844</a>,CPD-12377
SPERMIDINE,BSUBPOLYAMSYN-PWY // PWY-5760 // PWY-5905 // ARGSPECAT-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57834'>57834</a>,148.271,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00315'>C00315</a>,SPERMIDINE
CPD-14378,PWY-5905,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58732'>58732</a>,146.255,,CPD-14378
DIHYDROXYACETONE,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16016'>16016</a>,90.079d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00184'>C00184</a>,DIHYDROXYACETONE
L-GLYCERALDEHYDE,PWY-7269 // PWY-7245 // PWY-7269-YEAST,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27975'>27975</a>,90.079,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02426'>C02426</a>,L-GLYCERALDEHYDE
3-METHYLTHIOPROPYLHYDROXAMIC-ACID,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:80984'>80984</a>,165.268,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17243'>C17243</a>,3-METHYLTHIOPROPYLHYDROXAMIC-ACID
CPD-14070,,,282.338,,CPD-14070
PHENYLACETOTHIOHYDROXIMATE,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58176'>58176</a>,166.217,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03719'>C03719</a>,PHENYLACETOTHIOHYDROXIMATE
CPD-1861,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:136432'>136432</a>,205.254,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16516'>C16516</a>,CPD-1861
CPD-11690,PWY-7420,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75757'>75757</a>,356.545,,CPD-11690
CPD-16717,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75550'>75550</a>,358.56,,CPD-16717
CPD-8508,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75542'>75542</a>,330.507,,CPD-8508
CPD-8775,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28795'>28795</a>,135.142,,CPD-8775
4-TOLUENECARBOXYLATE,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28856'>28856</a>,135.142,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01454'>C01454</a>,4-TOLUENECARBOXYLATE
CPD-20744,,,,,CPD-20744
CPD-20741,,,,,CPD-20741
UBIQUINONE-6,PWY-7269 // PWY-7245 // PWY-5690 // PROUT-PWY // PWY-6952-1 // PWY-6118-YEAST // PWY-4261-YEAST // PWY-3781-1 // PWY-7269-YEAST,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52971'>52971</a>,590.885,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17568'>C17568</a>,UBIQUINONE-6
CPD-20742,,,,,CPD-20742
UBIQUINONE-8,PWY-7269 // PWY-7245 // PWY-5690 // PROUT-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61683'>61683</a>,727.121,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17569'>C17569</a>,UBIQUINONE-8
CPD-20743,,,,,CPD-20743
CPD-9956,PROUT-PWY // PWY-5690 // PWY-7269 // PWY-7245,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61682'>61682</a>,729.137,,CPD-9956
UBIQUINOL-30,PWY3O-19 // ALL-CHORISMATE-YEAST-PWY // PWY-7230 // PWY-7235 // PWY-7233 // PWY-7269-YEAST // PWY-6952-1 // PWY-6118-YEAST // PWY-4261-YEAST // PROUT-PWY // PWY-5690 // PWY-7269 // PWY-7245 // PWY-3781-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52970'>52970</a>,592.901,,UBIQUINOL-30
CPDQT-414,,,221.375,,CPDQT-414
CPDQT-411,,,179.295,,CPDQT-411
CPD-7655,,,292.372,,CPD-7655
CPDQT-415,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:133389'>133389</a>,235.402,,CPDQT-415
CPDQT-412,,,193.322,,CPDQT-412
CPDQT-413,,,207.348,,CPDQT-413
CPD-18494,YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76367'>76367</a>,1118.034,,CPD-18494
CPD-14273,PWY-7036 // YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73977'>73977</a>,1128.113,,CPD-14273
GLT,MALATE-ASPARTATE-SHUTTLE-PWY // ASPBIO-PWY // UDPNACETYLGALSYN-PWY // PWY-6981 // UDPNAGSYN-YEAST-PWY // ALANINE-SYN2-PWY // ALANINE-DEG3-PWY // SERSYN-PWY // SER-GLYSYN-PWY // PWY-5081 // PWY-6543 // PWY3O-1874 // PWY-6536 // LYSINE-AMINOAD-PWY // PWY-5653 // NADSYN-PWY // PWY3O-4107 // PWY-5057 // VALSYN-PWY // PWY-5076 // LEUSYN-PWY // PWY3O-4112 // ILEUSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY // PWY-5078 // PWY3O-4109 // TRPSYN-PWY // PWY-5079 // ANAPHENOXI-PWY // PHESYN // PWY-7942 // TYRSYN // COMPLETE-ARO-YEAST-PWY // PWY-5754 // PWY-5886 // PWY3O-4108 // PROUT-PWY // PWY-7185 // PWY-7177 // PWY-7176 // PWY-7196 // PWY-7208 // PWY-6466 // PWY-7221 // PWY-7228 // GLUTAMINDEG-PWY // ASPARAGINE-BIOSYNTHESIS // PYRIMID-RNTSYN-PWY // PWY-7790 // PWY-7559 // ARG-PRO-PWY // HISTSYN-PWY // PWY-4061 // PWY-6842-1 // LYSDEGII-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWYQT-4432 // PWY-5921 // TRNA-CHARGING-PWY // GLNSYN-PWY // PWY0-1305 // PWY-7282 // PWY-6121 // PWY-841 // PWY-6614 // PWY-6612 // FOLSYN-PWY // PWY-2161 // ARGSYNBSUB-PWY // GLUTATHIONESYN-PWY // PWY-4041 // PWY3O-114 // GLUGLNSYN-PWY // PWY-6963 // GLUTAMATE-DEG1-PWY // PROSYN-PWY // GLUTSYNIII-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29985'>29985</a>,146.122,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a>,GLT
L-ASPARTATE,ASPARAGINE-DEG1-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // TRNA-CHARGING-PWY // PWY-4984 // ARGSYNBSUB-PWY // PWY-7219 // PWY-7229 // MALATE-ASPARTATE-SHUTTLE-PWY // ASPBIO-PWY // PYRIMID-RNTSYN-PWY // PWY-7790 // ASPARAGINE-BIOSYNTHESIS // HOMOSERSYN-PWY // PWY-6124 // PWY-841,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29991'>29991</a>,132.096,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00049'>C00049</a>,L-ASPARTATE
CPD-14274,PWY-7036 // YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73980'>73980</a>,1156.166,,CPD-14274
PRO,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // TRNA-CHARGING-PWY // PROUT-PWY // PROSYN-PWY // ARG-PRO-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60039'>60039</a>,115.132d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00148'>C00148</a>,PRO
L-ALPHA-ALANINE,PWY3O-4108 // PWY-5651 // NADSYN-PWY // PWY-5079 // PWY-7888 // PWY0-1021 // PWY-7891 // PWY-7250 // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // TRNA-CHARGING-PWY // GLYSYN-ALA-PWY // ALANINE-SYN2-PWY // ALANINE-DEG3-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57972'>57972</a>,89.094d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00041'>C00041</a>,L-ALPHA-ALANINE
CPD-17388,YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74304'>74304</a>,1116.018,,CPD-17388
LEU,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // TRNA-CHARGING-PWY // PWY-5076 // LEUSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY // PWY3O-4112,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57427'>57427</a>,131.174d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00123'>C00123</a>,LEU
CPD-10283,PWY-7036 // YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71451'>71451</a>,1100.059,,CPD-10283
CPD-22387,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:46081'>46081</a>,306.274,,CPD-22387
CPD-3607,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37627'>37627</a>,180.157,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?D09924'>D09924</a>,CPD-3607
CPD-9247,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5143,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30827'>30827</a>,281.457,,CPD-9247
THR,HOMOSER-THRESYN-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // PWY0-1587 // TRNA-CHARGING-PWY // ILEUSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY // PWY-5436 // GLYSYN-THR-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57926'>57926</a>,119.12d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00188'>C00188</a>,THR
GLN,PWY-7282 // GLNSYN-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // TRNA-CHARGING-PWY // PWY-5921 // GLUGLNSYN-PWY // PWY-6963 // PWY-6466 // GLUTAMINDEG-PWY // PWY-7790 // ARGSYNBSUB-PWY // PWY-6543 // PWY-6612 // FOLSYN-PWY // PWY3O-1874 // PWY-5653 // NADSYN-PWY // PWY3O-4107 // HISTSYN-PWY // PWY-7221 // PWY-7228 // UDPNACETYLGALSYN-PWY // PWY-6981 // UDPNAGSYN-YEAST-PWY // PWY-6121 // PWY-841 // ASPARAGINE-BIOSYNTHESIS // TRPSYN-PWY // COMPLETE-ARO-YEAST-PWY // PWY-7185 // PYRIMID-RNTSYN-PWY // PWY-7177 // PWY-7176 // PWY-7196 // PWY-7208,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58359'>58359</a>,146.146d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a>,GLN
GLYCERALD,PWY-7269 // PWY-7245 // PWY-7269-YEAST,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17378'>17378</a>,90.079d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00577'>C00577</a>,GLYCERALD
TYR,PHENYLALANINE-DEG1-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // TRNA-CHARGING-PWY // TYRSYN // COMPLETE-ARO-YEAST-PWY // PWY-5754 // PWY-5886 // PWY3O-4108,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58315'>58315</a>,181.191d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00082'>C00082</a>,TYR
