"Compound"	"Pathways of compound"	"ChEBI"	"Molecular-Weight"	"Common-Name"	"KEGG"	"Object ID"
O-ACETYLCARNITINE	PWY3O-4	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57589'>57589</a>"	203.238d0	"<i>O</i>-acetyl-L-carnitine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02571'>C02571</a>"	"O-ACETYLCARNITINE"
LINOLENIC_ACID	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32387'>32387</a>"	277.426	"&alpha;-linolenate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06427'>C06427</a>"	"LINOLENIC_ACID"
5Z8Z11Z14Z17Z-EICOSAPENTAENOATE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58562'>58562</a>"	301.448	"(5Z,8Z,11Z,14Z,17Z)-icosapentaenoate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06428'>C06428</a>"	"5Z8Z11Z14Z17Z-EICOSAPENTAENOATE"
CPD-3745	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61904'>61904</a>"	125.119	"isethionate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05123'>C05123</a>"	"CPD-3745"
LINOLEIC_ACID	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30245'>30245</a>"	279.442	"linoleate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01595'>C01595</a>"	"LINOLEIC_ACID"
CPD-8120	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5143	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71589'>71589</a>"	305.479	"di-homo-&gamma;-linolenate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03242'>C03242</a>"	"CPD-8120"
L-1-LYSOPHOSPHATIDATE	PWY-7420 // TRIGLSYN-PWY // PWY-5667 // PWY4FS-8 // PWY3O-6407 // PWY3O-6499 // PWY-7417 // PWY-7411	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74544'>74544</a>"	434.509	"1-oleoyl-<i>sn</i>-glycerol 3-phosphate"		"L-1-LYSOPHOSPHATIDATE"
ARACHIDONIC_ACID	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32395'>32395</a>"	303.464	"arachidonate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00219'>C00219</a>"	"ARACHIDONIC_ACID"
CPD-18348	TRIGLSYN-PWY // PWY-5667 // PWY4FS-8 // PWY3O-6407 // PWY3O-6499		434.509	"1-<i>cis</i>-vaccenoyl-<i>sn</i>-glycerol-3-phosphate"		"CPD-18348"
OLEATE-CPD	PWY-5996 // PWY-7420 // PWY-7409 // PWY-7417 // PWY-7424 // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30823'>30823</a>"	281.457	"oleate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00712'>C00712</a>"	"OLEATE-CPD"
CPD-18379	TRIGLSYN-PWY // PWY-5667 // PWY4FS-8 // PWY3O-6407 // PWY3O-6499	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:72683'>72683</a>"	380.417	"1-myristoyl-<i>sn</i>-glycerol 3-phosphate"		"CPD-18379"
CPD-14927	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY		309.511	"phytenate"		"CPD-14927"
1-PALMITOYLGLYCEROL-3-PHOSPHATE	TRIGLSYN-PWY // PWY-5667 // PWY4FS-8 // PWY3O-6407 // PWY3O-6499	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57518'>57518</a>"	408.471	"1-palmitoyl-<i>sn</i>-glycerol 3-phosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04036'>C04036</a>"	"1-PALMITOYLGLYCEROL-3-PHOSPHATE"
CPD-14268	PWY-5148 // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // YEAST-FAO-PWY // PWY-7288	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32392'>32392</a>"	365.618	"(15<i>Z</i>)-tetracosenoate"		"CPD-14268"
GLYCEROL-3P	PWY-7366 // PWY-7367 // PWY-7409 // TRIGLSYN-PWY // PWY-6952-1 // PWY-4261-YEAST // PWY-5667 // PWY-7411 // PWY-6118-YEAST // PWY3O-6499 // PWY3O-48 // PWY4FS-8 // PWY-5269	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57597'>57597</a>"	170.058	"<i>sn</i>-glycerol 3-phosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00093'>C00093</a>"	"GLYCEROL-3P"
CPD-13086	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:84028'>84028</a>"	313.456	"(9Z)-12,13-dihydroxyoctadeca-9-enoate"		"CPD-13086"
SN-GLYCEROL-1-PHOSPHATE	PWY3O-48	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57685'>57685</a>"	170.058	"<i>sn</i>-glycerol 1-phosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00623'>C00623</a>"	"SN-GLYCEROL-1-PHOSPHATE"
VANILLYL_MANDELATE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27622'>27622</a>"	197.167	"vanillyl mandelate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05584'>C05584</a>"	"VANILLYL_MANDELATE"
B-XXYL-PEN-1:5	""			"b-xxyl-PEN-1:5"		"B-XXYL-PEN-1:5"
A-DXYL-PEN-1:5	""			"a-dxyl-PEN-1:5"		"A-DXYL-PEN-1:5"
CPD-19573	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY		127.143	"(2S)-2-aminohex-4-ynoate"		"CPD-19573"
X-DXYL-PEN-1:5	""			"x-dxyl-PEN-1:5"		"X-DXYL-PEN-1:5"
A-LXYL-PEN-1:5	""			"a-lxyl-PEN-1:5"		"A-LXYL-PEN-1:5"
B-DXYL-PEN-1:5	""			"b-dxyl-PEN-1:5"		"B-DXYL-PEN-1:5"
CPD-10246	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58824'>58824</a>"	138.095	"sulfoacetate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14179'>C14179</a>"	"CPD-10246"
PENTANOL	PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:44884'>44884</a>"	88.149	"pentan-1-ol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16834'>C16834</a>"	"PENTANOL"
PROPANOL	PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28831'>28831</a>"	60.096	"propan-1-ol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05979'>C05979</a>"	"PROPANOL"
METOH	PWY-7546 // PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17790'>17790</a>"	32.042d0	"methanol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00132'>C00132</a>"	"METOH"
ETOH	PWY-6348 // PWY-6952-1 // PWY-7118 // PWY66-21 // PWY-5486	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16236'>16236</a>"	46.069d0	"ethanol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00469'>C00469</a>"	"ETOH"
BUTANOL	PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28885'>28885</a>"	74.122	"butan-1-ol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06142'>C06142</a>"	"BUTANOL"
CPD-568	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58324'>58324</a>"	189.3	"<i>N</i><SUP>1</SUP>-acetylspermidine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00612'>C00612</a>"	"CPD-568"
PHYTOL	PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17327'>17327</a>"	296.535	"phytol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01389'>C01389</a>"	"PHYTOL"
N1-ACETYLSPERMINE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58101'>58101</a>"	247.403	"<i>N</i><sup>1</sup>-acetylspermine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02567'>C02567</a>"	"N1-ACETYLSPERMINE"
OCTANOL	PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16188'>16188</a>"	130.23	"1-octanol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00756'>C00756</a>"	"OCTANOL"
CPD-3462	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58535'>58535</a>"	189.3	"<i>N</i><SUP>8</SUP>-acetylspermidine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01029'>C01029</a>"	"CPD-3462"
HEXANOL-CMPD	PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87393'>87393</a>"	102.176	"1-hexanol"		"HEXANOL-CMPD"
NICOTINE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:59806'>59806</a>"	163.242	"(<i>S</i>)-nicotine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00745'>C00745</a>"	"NICOTINE"
CPD-9846	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28593'>28593</a>"	325.43	"quinidine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06527'>C06527</a>"	"CPD-9846"
CPD-9057	PWY-6348 // PWY-6952-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:113605'>113605</a>"	116.203	"1-heptanol"		"CPD-9057"
SPERMINE	ARGSPECAT-PWY // PWY-5760	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:45725'>45725</a>"	206.374	"spermine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00750'>C00750</a>"	"SPERMINE"
DIACETYL	PWY-5938	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16583'>16583</a>"	86.09d0	"diacetyl"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00741'>C00741</a>"	"DIACETYL"
CPD-313	PWY-5905	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57484'>57484</a>"	76.141	"propane-1,3-diamine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00986'>C00986</a>"	"CPD-313"
CPD-318	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16504'>16504</a>"	175.118	"monodehydroascorbate radical"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01041'>C01041</a>"	"CPD-318"
PUTRESCINE	PWY-46 // BSUBPOLYAMSYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:326268'>326268</a>"	90.168	"putrescine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00134'>C00134</a>"	"PUTRESCINE"
CPD-12377	DETOX1-PWY-1 // PWY-6502	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29191'>29191</a>"	17.007	"hydroxyl radical"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16844'>C16844</a>"	"CPD-12377"
SPERMIDINE	BSUBPOLYAMSYN-PWY // PWY-5760 // PWY-5905 // ARGSPECAT-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57834'>57834</a>"	148.271	"spermidine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00315'>C00315</a>"	"SPERMIDINE"
CPD-14378	PWY-5905	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58732'>58732</a>"	146.255	"dehydrospermidine"		"CPD-14378"
DIHYDROXYACETONE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16016'>16016</a>"	90.079d0	"dihydroxyacetone"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00184'>C00184</a>"	"DIHYDROXYACETONE"
L-GLYCERALDEHYDE	PWY-7269 // PWY-7245 // PWY-7269-YEAST	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27975'>27975</a>"	90.079	"L-glyceraldehyde"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02426'>C02426</a>"	"L-GLYCERALDEHYDE"
3-METHYLTHIOPROPYLHYDROXAMIC-ACID	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:80984'>80984</a>"	165.268	"(<i>E</i>)-&omega;-(methylsulfanyl)butyl-thiohydroximate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17243'>C17243</a>"	"3-METHYLTHIOPROPYLHYDROXAMIC-ACID"
CPD-14070	""		282.338	"obvatol"		"CPD-14070"
PHENYLACETOTHIOHYDROXIMATE	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58176'>58176</a>"	166.217	"(<i>Z</i>)-2-phenyl-1-thioacetohydroximate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03719'>C03719</a>"	"PHENYLACETOTHIOHYDROXIMATE"
CPD-1861	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:136432'>136432</a>"	205.254	"(<i>E</i>)-2-(1<i>H</i>-indol-3-yl)-1-thioacetohydroximate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16516'>C16516</a>"	"CPD-1861"
CPD-11690	PWY-7420	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75757'>75757</a>"	356.545	"1-oleoyl-<i>sn</i>-glycerol"		"CPD-11690"
CPD-16717	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75550'>75550</a>"	358.56	"1-stearoyl-<i>sn</i>-glycerol"		"CPD-16717"
CPD-8508	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75542'>75542</a>"	330.507	"1-palmitoyl-<i>sn</i>-glycerol"		"CPD-8508"
CPD-8775	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28795'>28795</a>"	135.142	"3-methylbenzoate"		"CPD-8775"
4-TOLUENECARBOXYLATE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28856'>28856</a>"	135.142	"4-methylbenzoate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01454'>C01454</a>"	"4-TOLUENECARBOXYLATE"
CPD-20744	""			"a dimer of adjacent thymidine and 2'-deoxycytidine in DNA"		"CPD-20744"
CPD-20741	""			"a dimer of adjacent 2'-deoxycytidines in DNA"		"CPD-20741"
UBIQUINONE-6	PWY-7269 // PWY-7245 // PWY-5690 // PROUT-PWY // PWY-6952-1 // PWY-6118-YEAST // PWY-4261-YEAST // PWY-3781-1 // PWY-7269-YEAST	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52971'>52971</a>"	590.885	"ubiquinone-<i>6</i>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17568'>C17568</a>"	"UBIQUINONE-6"
CPD-20742	""			"a dimer of adjacent thymidines in DNA"		"CPD-20742"
UBIQUINONE-8	PWY-7269 // PWY-7245 // PWY-5690 // PROUT-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61683'>61683</a>"	727.121	"ubiquinone-<i>8</i>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C17569'>C17569</a>"	"UBIQUINONE-8"
CPD-20743	""			"a dimer of adjacent 2'-deoxycytidine and thymidine in DNA"		"CPD-20743"
CPD-9956	PROUT-PWY // PWY-5690 // PWY-7269 // PWY-7245	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61682'>61682</a>"	729.137	"ubiquinol-<i>8</i>"		"CPD-9956"
UBIQUINOL-30	PWY3O-19 // ALL-CHORISMATE-YEAST-PWY // PWY-7230 // PWY-7235 // PWY-7233 // PWY-7269-YEAST // PWY-6952-1 // PWY-6118-YEAST // PWY-4261-YEAST // PROUT-PWY // PWY-5690 // PWY-7269 // PWY-7245 // PWY-3781-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52970'>52970</a>"	592.901	"ubiquinol-6"		"UBIQUINOL-30"
CPDQT-414	""		221.375	"(<i>E</i>)-&omega;-(methylsulfanyl)octyl-thiohydroximate"		"CPDQT-414"
CPDQT-411	""		179.295	"(<i>E</i>)-&omega;-(methylsulfanyl)pentyl-thiohydroximate"		"CPDQT-411"
CPD-7655	""		292.372	"octyl &beta;-D-glucopyranoside"		"CPD-7655"
CPDQT-415	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:133389'>133389</a>"	235.402	"(<i>E</i>)-&omega;-(methylsulfanyl)nonyl-thiohydroximate"		"CPDQT-415"
CPDQT-412	""		193.322	"(<i>E</i>)-&omega;-(methylsulfanyl)hexyl-thiohydroximate"		"CPDQT-412"
CPDQT-413	""		207.348	"(<i>E</i>)-&omega;-(methylsulfanyl)heptyl-thiohydroximate"		"CPDQT-413"
CPD-18494	YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76367'>76367</a>"	1118.034	"(6Z,9Z,12Z,15Z,18Z)-3-oxotetracosapentaenoyl-CoA"		"CPD-18494"
CPD-14273	PWY-7036 // YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73977'>73977</a>"	1128.113	"3-oxolignoceroyl-CoA"		"CPD-14273"
GLT	MALATE-ASPARTATE-SHUTTLE-PWY // ASPBIO-PWY // UDPNACETYLGALSYN-PWY // PWY-6981 // UDPNAGSYN-YEAST-PWY // ALANINE-SYN2-PWY // ALANINE-DEG3-PWY // SERSYN-PWY // SER-GLYSYN-PWY // PWY-5081 // PWY-6543 // PWY3O-1874 // PWY-6536 // LYSINE-AMINOAD-PWY // PWY-5653 // NADSYN-PWY // PWY3O-4107 // PWY-5057 // VALSYN-PWY // PWY-5076 // LEUSYN-PWY // PWY3O-4112 // ILEUSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY // PWY-5078 // PWY3O-4109 // TRPSYN-PWY // PWY-5079 // ANAPHENOXI-PWY // PHESYN // PWY-7942 // TYRSYN // COMPLETE-ARO-YEAST-PWY // PWY-5754 // PWY-5886 // PWY3O-4108 // PROUT-PWY // PWY-7185 // PWY-7177 // PWY-7176 // PWY-7196 // PWY-7208 // PWY-6466 // PWY-7221 // PWY-7228 // GLUTAMINDEG-PWY // ASPARAGINE-BIOSYNTHESIS // PYRIMID-RNTSYN-PWY // PWY-7790 // PWY-7559 // ARG-PRO-PWY // HISTSYN-PWY // PWY-4061 // PWY-6842-1 // LYSDEGII-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWYQT-4432 // PWY-5921 // TRNA-CHARGING-PWY // GLNSYN-PWY // PWY0-1305 // PWY-7282 // PWY-6121 // PWY-841 // PWY-6614 // PWY-6612 // FOLSYN-PWY // PWY-2161 // ARGSYNBSUB-PWY // GLUTATHIONESYN-PWY // PWY-4041 // PWY3O-114 // GLUGLNSYN-PWY // PWY-6963 // GLUTAMATE-DEG1-PWY // PROSYN-PWY // GLUTSYNIII-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29985'>29985</a>"	146.122	"L-glutamate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a>"	"GLT"
L-ASPARTATE	ASPARAGINE-DEG1-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // TRNA-CHARGING-PWY // PWY-4984 // ARGSYNBSUB-PWY // PWY-7219 // PWY-7229 // MALATE-ASPARTATE-SHUTTLE-PWY // ASPBIO-PWY // PYRIMID-RNTSYN-PWY // PWY-7790 // ASPARAGINE-BIOSYNTHESIS // HOMOSERSYN-PWY // PWY-6124 // PWY-841	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29991'>29991</a>"	132.096	"L-aspartate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00049'>C00049</a>"	"L-ASPARTATE"
CPD-14274	PWY-7036 // YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73980'>73980</a>"	1156.166	"3-oxocerotoyl-CoA"		"CPD-14274"
PRO	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // PWY3O-64 // PWY-4041 // PWYQT-4432 // PWY3O-114 // TRNA-CHARGING-PWY // PROUT-PWY // PROSYN-PWY // ARG-PRO-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60039'>60039</a>"	115.132d0	"L-proline"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00148'>C00148</a>"	"PRO"
