s_0003[e]	(1->3)-beta-D-glucan [extracellular]
s_0938[e]	isobutyraldehyde [extracellular]
s_0956[e]	L-alanine [extracellular]
s_0962[e]	L-arabinitol [extracellular]
s_0964[e]	L-arabinose [extracellular]
s_0966[e]	L-arginine [extracellular]
s_0970[e]	L-asparagine [extracellular]
s_0974[e]	L-aspartate [extracellular]
s_0982[e]	L-cysteine [extracellular]
s_0990[e]	L-glucitol [extracellular]
s_0992[e]	L-glutamate [extracellular]
s_1000[e]	L-glutamine [extracellular]
s_1007[e]	L-histidine [extracellular]
s_1015[e]	L-homoserine [extracellular]
s_1017[e]	L-isoleucine [extracellular]
s_1022[e]	L-leucine [extracellular]
s_1026[e]	L-lysine [extracellular]
s_1030[e]	L-methionine [extracellular]
s_1033[e]	L-phenylalanine [extracellular]
s_1036[e]	L-proline [extracellular]
s_1041[e]	L-serine [extracellular]
s_1044[e]	L-sorbose [extracellular]
s_1046[e]	L-threonine [extracellular]
s_1049[e]	L-tryptophan [extracellular]
s_1052[e]	L-tyrosine [extracellular]
s_1057[e]	L-valine [extracellular]
s_1061[e]	lanosterol [extracellular]
s_1067[e]	laurate [extracellular]
s_1106[e]	maltose [extracellular]
s_1154[e]	myo-inositol [extracellular]
s_1186[e]	N,N'-diformyldityrosine [extracellular]
s_1220[e]	nicotinate [extracellular]
s_1225[e]	NMN [extracellular]
s_1250[e]	octanoate [extracellular]
s_1267[e]	ornithine [extracellular]
s_1272[e]	oxaloacetate [extracellular]
s_1277[e]	oxygen [extracellular]
s_1288[e]	palmitate [extracellular]
s_1295[e]	palmitoleate [extracellular]
s_1309[e]	pectin [extracellular]
s_1317[e]	phenethyl acetate [extracellular]
s_1319[e]	phenylacetaldehyde [extracellular]
s_1324[e]	phosphate [extracellular]
s_1374[e]	potassium [extracellular]
s_1390[e]	putrescine [extracellular]
s_1397[e]	pyridoxine [extracellular]
s_1400[e]	pyruvate [extracellular]
s_1406[e]	riboflavin [extracellular]
s_1418[e]	S-adenosyl-L-methionine [extracellular]
s_1425[e]	S-methyl-L-methionine [extracellular]
s_1435[e]	sn-glycero-3-phosphocholine [extracellular]
s_1438[e]	sodium [extracellular]
s_1440[e]	spermidine [extracellular]
s_1443[e]	spermine [extracellular]
s_1450[e]	stearate [extracellular]
s_1459[e]	succinate [extracellular]
s_1466[e]	sucrose [extracellular]
s_1468[e]	sulphate [extracellular]
s_1470[e]	sulphite [extracellular]
s_1472[e]	taurine [extracellular]
s_1476[e]	TDP [extracellular]
s_1490[e]	thiamine [extracellular]
s_1498[e]	TMP [extracellular]
s_1494[e]	thymidine [extracellular]
s_1530[e]	tryptophol [extracellular]
s_1551[e]	uracil [extracellular]
s_1553[e]	urea [extracellular]
s_1557[e]	uridine [extracellular]
s_0805[e]	H2O [extracellular]
s_1564[e]	xanthosine [extracellular]
s_1567[e]	xylitol [extracellular]
s_1571[e]	zymosterol [extracellular]
s_0450[c]	biomass [cytoplasm]
s_2766[e]	14-demethyllanosterol [extracellular]
s_2768[e]	ergosta-5,7,22,24(28)-tetraen-3beta-ol [extracellular]
s_2822[e]	butyrate [extracellular]
s_2824[e]	hexanoate [extracellular]
s_2826[e]	oleate [extracellular]
s_1163[e]	myristate [extracellular]
s_3715[e]	raffinose [extracellular]
s_3716[e]	melibiose [extracellular]
s_3746[c]	lipid backbone [cytoplasm]
s_3747[c]	lipid chain [cytoplasm]
s_4074[e]	cysteamine [extracellular]
s_4124[e]	methanol [extracellular]
s_4170[e]	Ala-Gly [extracellular]
s_4137[e]	3-oxalomalate(3-) [extracellular]
s_4109[e]	6-O-alpha-D-glucopyranosyl-D-fructofuranose [extracellular]
s_4118[e]	5-dehydro-D-gluconate [extracellular]
s_4130[e]	D-tagatose [extracellular]
s_4131[e]	turanose [extracellular]
s_4150[e]	D-glucose 6-phosphate [extracellular]
s_4140[e]	alpha-maltotriose [extracellular]
s_4145[e]	D-glucose 1-phosphate [extracellular]
s_4125[e]	methyl alpha-D-glucopyranoside [extracellular]
s_4164[e]	D-Glucosamine [extracellular]
s_4167[e]	glycerone [extracellular]
s_4034[e]	Ala-Gln [extracellular]
s_4168[e]	Ala-Leu [extracellular]
s_4056[e]	Gly-Gln [extracellular]
s_4050[e]	Ala-His [extracellular]
s_4053[e]	Gly-Asn [extracellular]
s_4037[e]	Ala-Glu [extracellular]
s_4085[e]	Gly-Met [extracellular]
s_4119[e]	Ala-Asp [extracellular]
s_4059[e]	Gly-Glu [extracellular]
s_4040[e]	Ala-Thr [extracellular]
s_4143[e]	Met-Ala [extracellular]
s_4166[e]	L-citrulline [extracellular]
s_4080[e]	2-aminobutanoate [extracellular]
s_4158[e]	choline phosphate [extracellular]
s_4049[e]	glycerol 1-phosphate [extracellular]
s_4141[e]	2-phospho-D-glyceric acid [extracellular]
s_4148[e]	GMP [extracellular]
s_4147[e]	3-phospho-serine [extracellular]
s_4078[e]	O-phosphonatooxy-D-serine(2-) [extracellular]
s_4157[e]	diphosphate [extracellular]
s_4099[e]	triphosphate [extracellular]
s_4152[e]	phosphoenolpyruvate [extracellular]
s_4093[e]	N(omega)-phospho-L-arginine [extracellular]
s_4146[e]	carbamoyl phosphate [extracellular]
s_4154[e]	O-phosphoethanolamine [extracellular]
s_4075[e]	cysteamine S-phosphate [extracellular]
s_4067[e]	guanosine 2'-monophosphate [extracellular]
s_4063[e]	glycerol 2-phosphate(2-) [extracellular]
s_4069[e]	3'-GMP [extracellular]
s_4070[e]	2-phosphoglycolate [extracellular]
s_4155[e]	6-phospho-D-gluconate [extracellular]
s_4153[e]	D-mannose 6-phosphate [extracellular]
s_4095[e]	2',3'-cyclic GMP [extracellular]
s_4097[e]	O(4)-phospho-L-tyrosine [extracellular]
s_4065[e]	O-phospho-L-threonine [extracellular]
s_4142[e]	3-phosphonato-D-glycerate(3-) [extracellular]
s_4162[e]	adenosine 2'-phosphate [extracellular]
s_4107[e]	3'-AMP [extracellular]
s_4161[e]	2',3'-cyclic AMP [extracellular]
s_4156[e]	D-mannose 1-phosphate [extracellular]
s_4160[e]	AMP [extracellular]
s_4135[e]	N(alpha)-acetyl-L-methionine [extracellular]
s_4176[e]	L-Methionine S-oxide [extracellular]
s_4105[e]	3-sulfino-L-alanine [extracellular]
s_4111[e]	N-acetyl-L-cysteine [extracellular]
s_4139[e]	L-cysteate [extracellular]
s_4116[e]	2-hydroxyethane-1-sulfonate [extracellular]
s_4133[e]	acetoacetate [extracellular]
s_4172[e]	N-acetyl-L-glutamate [extracellular]
s_4151[e]	UMP [extracellular]
s_4163[e]	CMP [extracellular]
s_4047[e]	thymidine 5'-monophosphate [extracellular]
s_4045[e]	thymidine 3'-monophosphate [extracellular]
s_4101[e]	cytidine 2'-phosphate [extracellular]
s_4082[e]	uridine 2'-phosphate [extracellular]
s_4084[e]	3'-UMP [extracellular]
s_4127[e]	2',3'-cyclic CMP [extracellular]
s_4103[e]	2',3'-cyclic UMP [extracellular]
s_4200[e]	chloride [extracellular]
s_4201[e]	Cu2(+) [extracellular]
s_4202[e]	Mn(2+) [extracellular]
s_4203[e]	Zn(2+) [extracellular]
s_4204[e]	Mg(2+) [extracellular]
s_4199[e]	Ca(2+) [extracellular]
